eb_type,country,isCtryFlagged,isCtryGrey,color,eb_prev,prev,h,hm,num_pos,num_tested,num_arrivals,alpha,beta,alpha.post,beta.post,p0,S0,low,up,date
AD,AD,FALSE,FALSE,white,0.001955636597898084,0,0.0019598053886490546,-1.7187426770985347e-4,0,74,220,0.9193714368868025,395.1942671987072,0.9193714368868025,469.1942671987072,0.002320979,396.113638635594,8.072016283508397e-5,0.0060300500805201,2020-08-02
AE,AE,FALSE,FALSE,white,0.0015875492745307542,0,0.0015902953596746326,-1.3946836352708963e-4,0,183,2113,0.9193714368868025,395.1942671987072,0.9193714368868025,578.1942671987072,0.002320979,396.113638635594,6.550240093985086e-5,0.004895986322006217,2020-08-02
AM,AM,TRUE,FALSE,black,0.0036667731904151974,0,0.0036786994864291237,4.2616779314055494e-4,0,31,4406,1.1310264843905842,276.32178083596494,1.1310264843905842,307.32178083596494,0.004076464373577832,277.45280732035553,2.5175178845778277e-4,0.010500756210700235,2020-08-02
AQ,AQ,TRUE,FALSE,black,0.0040472897561340745,0,0.0040618246778505495,4.7055185275916535e-4,0,2,3,1.1310264843905842,276.32178083596494,1.1310264843905842,278.32178083596494,0.004076464373577832,277.45280732035553,2.779734924665505e-4,0.01158827414428687,2020-08-02
AS,AS,TRUE,FALSE,black,0.00343304552050998,0,0.0034434976933762074,3.989202755170482e-4,0,52,105,1.1310264843905842,276.32178083596494,1.1310264843905842,328.32178083596494,0.004076464373577832,277.45280732035553,2.356544366501422e-4,0.00983255680810824,2020-08-02
AT,AT,FALSE,FALSE,white,0.0023035329988465355,0,0.0023093191181232857,-2.0252650321030426e-4,0,3,6,0.9193714368868025,395.1942671987072,0.9193714368868025,398.1942671987072,0.002320979,396.113638635594,9.511373727332907e-5,0.0071015198862730555,2020-08-02
AU,AU,FALSE,FALSE,white,0.002258267347583824,0,0.002263828026006669,-1.985369498647781e-4,0,11,31,0.9193714368868025,395.1942671987072,0.9193714368868025,406.1942671987072,0.002320979,396.113638635594,9.324037285921945e-5,0.00696212959939746,2020-08-02
AW,AW,TRUE,FALSE,black,0.004076464373577833,NA,0.0040912099802985265,4.7395606382376045e-4,0,0,1,1.1310264843905842,276.32178083596494,1.1310264843905842,276.32178083596494,0.004076464373577832,277.45280732035553,2.7998468956612474e-4,0.011671638267296891,2020-08-02
BA,BA,TRUE,FALSE,black,0.0039761480825070685,0,0.0039901756312905705,4.6225149656923083e-4,0,7,9,1.1310264843905842,276.32178083596494,1.1310264843905842,283.32178083596494,0.004076464373577832,277.45280732035553,2.7306968015872076e-4,0.011384982347212746,2020-08-02
BD,BD,TRUE,FALSE,black,0.004032858487662189,0,0.0040472897561340745,4.6886801978117084e-4,0,3,10,1.1310264843905842,276.32178083596494,1.1310264843905842,279.32178083596494,0.004076464373577832,277.45280732035553,2.769786903247084e-4,0.011547037057020093,2020-08-02
BE,BE,FALSE,FALSE,white,0.002545841776731551,0.002592016588906169,0.0025469371800433387,0.0021166656204361822,5,1929,9017,0.9193714368868025,395.1942671987072,5.919371436886802,2319.194267198707,0.002320979,396.113638635594,0.0011020502286947247,0.004471540744302274,2020-08-02
BF,BF,TRUE,FALSE,black,0.003867381184519276,0,0.003880650506644104,4.495632949816266e-4,0,15,39,1.1310264843905842,276.32178083596494,1.1310264843905842,291.32178083596494,0.004076464373577832,277.45280732035553,2.6557358129534954e-4,0.011074146185647726,2020-08-02
BG*,BG,FALSE,TRUE,grey,0.016092411561062444,0.020134228187919462,0.016128735582860432,0.0138715212641638,6,298,478,1.1454161216616447,144.87853234302048,7.145416121661645,436.8785323430205,0.007844029241126014,146.02394846468212,0.007664922055963459,0.026982180935357758,2020-08-02
BH,BH,TRUE,FALSE,black,0.004076464373577833,NA,0.0040912099802985265,4.7395606382376045e-4,0,0,1,1.1310264843905842,276.32178083596494,1.1310264843905842,276.32178083596494,0.004076464373577832,277.45280732035553,2.7998468956612474e-4,0.011671638267296891,2020-08-02
BJ,BJ,TRUE,FALSE,black,0.0040472897561340745,0,0.0040618246778505495,4.7055185275916535e-4,0,2,6,1.1310264843905842,276.32178083596494,1.1310264843905842,278.32178083596494,0.004076464373577832,277.45280732035553,2.779734924665505e-4,0.01158827414428687,2020-08-02
BL,BL,TRUE,FALSE,black,0.0040618246778505495,0,0.004076464373577833,4.7224782353453345e-4,0,1,9,1.1310264843905842,276.32178083596494,1.1310264843905842,277.32178083596494,0.004076464373577832,277.45280732035553,2.7897546626943776e-4,0.01162980681787007,2020-08-02
BM,BM,TRUE,FALSE,black,0.0037027863463188803,0,0.003714948449138391,4.3036714144242946e-4,0,28,51,1.1310264843905842,276.32178083596494,1.1310264843905842,304.32178083596494,0.004076464373577832,277.45280732035553,2.542327052445159e-4,0.010603699658409238,2020-08-02
BO,BO,TRUE,FALSE,black,0.003894011198669931,0,0.003907464207589482,4.526695926827511e-4,0,13,64,1.1310264843905842,276.32178083596494,1.1310264843905842,289.32178083596494,0.004076464373577832,277.45280732035553,2.674087561728951e-4,0.011150253080245087,2020-08-02
BR,BR,TRUE,FALSE,black,0.003948386803993499,0,0.003962218816510939,4.590127720955881e-4,0,9,14,1.1310264843905842,276.32178083596494,1.1310264843905842,285.32178083596494,0.004076464373577832,277.45280732035553,2.71156261157174e-4,0.011305648833152548,2020-08-02
BS,BS,TRUE,FALSE,black,0.004002282371493688,0.00392156862745098,0.004009813204554244,0.0021281785867184443,1,255,457,1.1310264843905842,276.32178083596494,2.131026484390584,530.321780835965,0.004076464373577832,277.45280732035553,7.704301656461752e-4,0.009289777443178271,2020-08-02
BT,BT,TRUE,FALSE,black,0.004004302506746848,0,0.004018529767596974,4.6553624971111784e-4,0,5,14,1.1310264843905842,276.32178083596494,1.1310264843905842,281.32178083596494,0.004076464373577832,277.45280732035553,2.7501029522446517e-4,0.011465437108713394,2020-08-02
BV,BV,TRUE,FALSE,black,0.0040472897561340745,0,0.0040618246778505495,4.7055185275916535e-4,0,2,4,1.1310264843905842,276.32178083596494,1.1310264843905842,278.32178083596494,0.004076464373577832,277.45280732035553,2.779734924665505e-4,0.01158827414428687,2020-08-02
BW,BW,TRUE,FALSE,black,0.004004302506746848,0,0.004018529767596974,4.6553624971111784e-4,0,5,9,1.1310264843905842,276.32178083596494,1.1310264843905842,281.32178083596494,0.004076464373577832,277.45280732035553,2.7501029522446517e-4,0.011465437108713394,2020-08-02
BY,BY,TRUE,FALSE,black,0.003574076317944018,0,0.0035854063052987175,4.153600201044377e-4,0,39,61,1.1310264843905842,276.32178083596494,1.1310264843905842,315.32178083596494,0.004076464373577832,277.45280732035553,2.453667256049544e-4,0.010235765596112945,2020-08-02
BZ,BZ,TRUE,FALSE,black,0.008638439049592496,0.023529411764705882,0.00866233826651554,0.005895725365059499,2,85,200,1.1310264843905842,276.32178083596494,3.131026484390584,359.32178083596494,0.004076464373577832,277.45280732035553,0.002454256783722238,0.01785031194098019,2020-08-02
CA,CA,FALSE,FALSE,white,0.0029433082260059305,0.00390625,0.002947828647713228,0.0014119984321221434,1,256,4458,0.9193714368868025,395.1942671987072,1.9193714368868025,650.1942671987072,0.002320979,396.113638635594,4.970887844536603e-4,0.007064016468343759,2020-08-02
CD,CD,TRUE,FALSE,black,0.003962218816510939,0,0.0039761480825070685,4.606264414294212e-4,0,8,33,1.1310264843905842,276.32178083596494,1.1310264843905842,284.32178083596494,0.004076464373577832,277.45280732035553,2.721096070064555e-4,0.011345176904307697,2020-08-02
CF,CF,TRUE,FALSE,black,0.004076464373577833,NA,0.0040912099802985265,4.7395606382376045e-4,0,0,1,1.1310264843905842,276.32178083596494,1.1310264843905842,276.32178083596494,0.004076464373577832,277.45280732035553,2.7998468956612474e-4,0.011671638267296891,2020-08-02
CH,CH,FALSE,FALSE,white,0.002178018791002594,0,0.0021831908362444897,-1.914650956792415e-4,0,26,90,0.9193714368868025,395.1942671987072,0.9193714368868025,421.1942671987072,0.002320979,396.113638635594,8.991963327070639e-5,0.006714997898478453,2020-08-02
CI,CI,TRUE,FALSE,black,0.0040618246778505495,0,0.004076464373577833,4.7224782353453345e-4,0,1,11,1.1310264843905842,276.32178083596494,1.1310264843905842,277.32178083596494,0.004076464373577832,277.45280732035553,2.7897546626943776e-4,0.01162980681787007,2020-08-02
CK,CK,TRUE,FALSE,black,0.004076464373577833,NA,0.0040912099802985265,4.7395606382376045e-4,0,0,1,1.1310264843905842,276.32178083596494,1.1310264843905842,276.32178083596494,0.004076464373577832,277.45280732035553,2.7998468956612474e-4,0.011671638267296891,2020-08-02
CL,CL,TRUE,FALSE,black,0.004032858487662189,0,0.0040472897561340745,4.6886801978117084e-4,0,3,5,1.1310264843905842,276.32178083596494,1.1310264843905842,279.32178083596494,0.004076464373577832,277.45280732035553,2.769786903247084e-4,0.011547037057020093,2020-08-02
CN,CN,FALSE,FALSE,white,0.0019473519967433712,0,0.00195148550474875,-1.7114461671436276e-4,0,76,168,0.9193714368868025,395.1942671987072,0.9193714368868025,471.1942671987072,0.002320979,396.113638635594,8.037752784958662e-5,0.006004530146131383,2020-08-02
CO,CO,TRUE,FALSE,black,0.004078887996258559,0.004081632653061225,0.0040867101576104545,0.0021689910736173977,1,245,2197,1.1310264843905842,276.32178083596494,2.131026484390584,520.321780835965,0.004076464373577832,277.45280732035553,7.852151019927356e-4,0.009467276313057993,2020-08-02
