,Country,Lag,AUC
0,PL,0,0.6527777777777778
1,PL,1,0.6527777777777778
2,PL,2,0.6527777777777778
3,PL,3,0.6527777777777778
4,PL,4,0.6527777777777778
5,PL,5,0.5277777777777778
6,PL,6,0.5277777777777778
7,PL,7,0.5277777777777778
8,PL,8,0.5
9,PL,9,0.5
10,PL,10,0.5
11,PL,11,0.5
12,PL,12,0.5
13,PL,13,0.5
14,PL,14,0.5
15,PL,15,0.5
16,PL,16,0.5
17,PL,17,0.5
18,PL,18,0.5
19,PL,19,0.5
20,EG,0,0.6875
21,EG,1,0.6885416666666666
22,EG,2,0.6302083333333334
23,EG,3,0.6385416666666667
24,EG,4,0.6197916666666667
25,EG,5,0.71875
26,EG,6,0.7604166666666666
27,EG,7,0.5416666666666666
28,EG,8,0.503125
29,EG,9,0.5125000000000001
30,EG,10,0.5125000000000001
31,EG,11,0.5052083333333333
32,EG,12,0.5416666666666666
33,EG,13,0.5104166666666666
34,EG,14,0.5177083333333333
35,EG,15,0.5635416666666666
36,EG,16,0.5927083333333334
37,EG,17,0.5552083333333333
38,EG,18,0.5499999999999999
39,EG,19,0.5916666666666666
40,IT,0,0.5
41,IT,1,0.5
42,IT,2,0.5
43,IT,3,0.5
44,IT,4,0.5
45,IT,5,0.5
46,IT,6,0.5
47,IT,7,0.5
48,IT,8,0.5
49,IT,9,0.5
50,IT,10,0.5
51,IT,11,0.5
52,IT,12,0.5
53,IT,13,0.5
54,IT,14,0.5
55,IT,15,0.5
56,IT,16,0.5
57,IT,17,0.5
58,IT,18,0.5
59,IT,19,0.5
60,CH,0,0.8387096774193548
61,CH,1,0.8461538461538461
62,CH,2,0.8387096774193548
63,CH,3,0.8436724565756824
64,CH,4,0.8411910669975186
65,CH,5,0.836228287841191
66,CH,6,0.8287841191066997
67,CH,7,0.8337468982630273
68,CH,8,0.858560794044665
69,CH,9,0.8436724565756825
70,CH,10,0.8672456575682382
71,CH,11,0.8684863523573201
72,CH,12,0.837468982630273
73,CH,13,0.8535980148883375
74,CH,14,0.847394540942928
75,CH,15,0.9900744416873449
76,CH,16,0.9230769230769231
77,CH,17,1.0
78,CH,18,0.9615384615384616
79,CH,19,0.9230769230769231
80,AT,0,0.5
81,AT,1,0.5
82,AT,2,0.6178947368421054
